C1, 29.50, 24.00, 180.00, EEE1CA470WR, CAP_EEE1CA470WR
C2, 8.00, 7.00, 270.00, 100nF, C0603
DRV-1, 29.27, 11.66, 180.00, MAX14874, TD1233
DRV-2, 23.19, 11.66, 180.00, MAX14874, TD1233
DRV-3, 17.11, 11.66, 180.00, MAX14874, TD1233
DRV-4, 11.03, 11.66, 180.00, MAX14874, TD1233
PCA9685, 14.49, 18.95, 180.00, PCA9685PW, TSSOP28
R1, 5.90, 22.46, 0.00, 10k, 0603
R4, 21.38, 17.50, 90.00, 10k, 0603
R5, 26.75, 17.52, 90.00, 10k, 0603
R6, 28.45, 17.53, 90.00, 10k, 0603
R7, 30.16, 17.51, 90.00, 10k, 0603
R8, 31.92, 17.52, 90.00, 10k, 0603
R9, 24.01, 17.52, 90.00, 10k, 0603
